Positions,Metal_Oxides,Adsorbates,Energy_with adsorbate_(ev/atom),Adsorption_energy_eV,Surface energy (eV/A^2),Number_Al_atoms,Number_O_atoms
P3-ver,Al2O3,CO2,-8.761959296,0.08466113,0.091550744,6,9
P4-ver,Al2O3,CO2,-8.762758675,0.07267045,0.091550744,6,9
P5-ver,Al2O3,CO2,-8.782776319,-0.22759421,0.091550744,6,9
P6-ver,Al2O3,CO2,-8.767990444,-0.00580609,0.091550744,6,9
P7-ver,Al2O3,CO2,-8.774595482,-0.10488166,0.091550744,6,9
P8-ver,Al2O3,CO2,-8.759663907,0.11909196,0.091550744,6,9
P9-ver,Al2O3,CO2,-8.777189157,-0.14378679,0.091550744,6,9
P10-ver,Al2O3,CO2,-8.766072525,0.02296269,0.091550744,6,9
P11-ver,Al2O3,CO2,-8.764588097,0.04522911,0.091550744,6,9
P1-horz,Al2O3,CO,-8.224779323,-0.03464613,0.091550744,6,9
P2-horz,Al2O3,CO,-8.219659437,0.04215216,0.091550744,6,9
P3-horz,Al2O3,CO,-8.250046159,-0.41364866,0.091550744,6,9
P4-horz,Al2O3,CO,-8.221913378,0.00834305,0.091550744,6,9
P5-horz,Al2O3,CO,-8.221514602,0.01432469,0.091550744,6,9
P6-horz,Al2O3,CO,-8.223970373,-0.02251188,0.091550744,6,9
P7-horz,Al2O3,CO,-8.225335238,-0.04298485,0.091550744,6,9
P8-horz,Al2O3,CO,-8.240285629,-0.26724071,0.091550744,6,9
P9-horz,Al2O3,CO,-8.225179555,-0.0406496,0.091550744,6,9
P10-horz,Al2O3,CO,-8.238949433,-0.24719777,0.091550744,6,9
P11-horz,Al2O3,CO,-8.220873544,0.02394056,0.091550744,6,9
P1-ver,Al2O3,CO,-8.250385911,-0.41874494,0.091550744,6,9
P2-ver,Al2O3,CO,-8.222308187,0.00242091,0.091550744,6,9
P3-ver,Al2O3,CO,-8.248300865,-0.38746925,0.091550744,6,9
P4-ver,Al2O3,CO,-8.221023103,0.02169717,0.091550744,6,9
P5-ver,Al2O3,CO,-8.250376943,-0.41861042,0.091550744,6,9
P6-ver,Al2O3,CO,-8.229174139,-0.10056837,0.091550744,6,9
P7-ver,Al2O3,CO,-8.246561733,-0.36138227,0.091550744,6,9
P8-ver,Al2O3,CO,-8.247540664,-0.37606624,0.091550744,6,9
P9-ver,Al2O3,CO,-8.248681097,-0.39317274,0.091550744,6,9
P10-ver,Al2O3,CO,-8.245364447,-0.34342299,0.091550744,6,9
P11-ver,Al2O3,CO,-8.220408428,0.0309173,0.091550744,6,9
P1-ver,Cr2O3,H2O,-9.385985503,0.15793617,-0.046067883,6,9
P2-ver,Cr2O3,H2O,-9.398344187,-0.02744408,-0.046067883,6,9
P3-ver,Cr2O3,H2O,-9.442724419,-0.69314756,-0.046067883,6,9
P4-ver,Cr2O3,H2O,-9.422584749,-0.39105251,-0.046067883,6,9
P5-ver,Cr2O3,H2O,-9.379032241,0.26223511,-0.046067883,6,9
P6-ver,Cr2O3,H2O,-9.395228094,0.01929731,-0.046067883,6,9
P7-ver,Cr2O3,H2O,-9.445212425,-0.73046766,-0.046067883,6,9
P8-ver,Cr2O3,H2O,-9.36574614,0.46152662,-0.046067883,6,9
P9-ver,Cr2O3,H2O,-9.418197217,-0.32523953,-0.046067883,6,9
P10-ver,Cr2O3,H2O,-9.422601431,-0.39130274,-0.046067883,6,9
P1-horz,Cr2O3,H2O,-9.416511706,-0.29995687,-0.046067883,6,9
P2-horz,Cr2O3,H2O,-9.289967263,1.59820977,-0.046067883,6,9
P3-horz,Cr2O3,H2O,-9.360235138,0.54419165,-0.046067883,6,9
P4-horz,Cr2O3,H2O,-9.348482014,0.72048851,-0.046067883,6,9
P5-horz,Cr2O3,H2O,-9.361238123,0.52914688,-0.046067883,6,9
P6-horz,Cr2O3,H2O,-9.39464419,0.02805587,-0.046067883,6,9
P7-horz,Cr2O3,H2O,-9.406370431,-0.14783774,-0.046067883,6,9
P8-horz,Cr2O3,H2O,-9.274798692,1.82573834,-0.046067883,6,9
P9-horz,Cr2O3,H2O,-9.431869956,-0.53033062,-0.046067883,6,9
P10-horz,Cr2O3,H2O,-9.439858245,-0.65015495,-0.046067883,6,9
P1-ver,Cr2O3,O2,-9.170594469,-3.05901088,-0.046067883,6,9
P2-ver,Cr2O3,O2,-9.183747917,-3.25631259,-0.046067883,6,9
P3-ver,Cr2O3,O2,-9.173301634,-3.09961835,-0.046067883,6,9
P4-ver,Cr2O3,O2,-9.173168116,-3.09761558,-0.046067883,6,9
P5-ver,Cr2O3,O2,-9.120299931,-2.30459281,-0.046067883,6,9
P6-ver,Cr2O3,O2,-9.172076739,-3.08124492,-0.046067883,6,9
P7-ver,Cr2O3,O2,-9.185066463,-3.27609079,-0.046067883,6,9
P8-ver,Cr2O3,O2,-9.187680381,-3.31529955,-0.046067883,6,9
P9-ver,Cr2O3,O2,-9.049543763,-1.24325029,-0.046067883,6,9
P10-ver,Cr2O3,O2,-9.106427548,-2.09650706,-0.046067883,6,9
P1-horz,Cr2O3,O2,-9.222978503,-3.84477138,-0.046067883,6,9
P2-horz,Cr2O3,O2,-9.225266387,-3.87908964,-0.046067883,6,9
P3-horz,Cr2O3,O2,-9.167361399,-3.01051483,-0.046067883,6,9
P4-horz,Cr2O3,O2,-9.222209085,-3.83323011,-0.046067883,6,9
P5-horz,Cr2O3,O2,-9.220968161,-3.81461625,-0.046067883,6,9
P6-horz,Cr2O3,O2,-9.22409493,-3.86151779,-0.046067883,6,9
P7-horz,Cr2O3,O2,-9.222907461,-3.84370575,-0.046067883,6,9
P8-horz,Cr2O3,O2,-9.221130783,-3.81705558,-0.046067883,6,9
P9-horz,Cr2O3,O2,-9.115837827,-2.23766125,-0.046067883,6,9
P10-horz,Cr2O3,O2,-9.222939957,-3.8441932,-0.046067883,6,9
P1-ver,Cr2O3,CO,-9.458087081,-0.37415722,-0.046067883,6,9
P2-ver,Cr2O3,CO,-9.448052534,-0.22363901,-0.046067883,6,9
P3-ver,Cr2O3,CO,-9.453340611,-0.30296016,-0.046067883,6,9
P4-ver,Cr2O3,CO,-9.411397684,0.32618374,-0.046067883,6,9
P5-ver,Cr2O3,CO,-9.455771051,-0.33941676,-0.046067883,6,9
P6-ver,Cr2O3,CO,-9.462373621,-0.43845532,-0.046067883,6,9
P7-ver,Cr2O3,CO,-9.484784699,-0.77462148,-0.046067883,6,9
P8-ver,Cr2O3,CO,-9.487957361,-0.82221141,-0.046067883,6,9
P9-ver,Cr2O3,CO,-9.433397593,-0.00381489,-0.046067883,6,9
P10-ver,Cr2O3,CO,-9.419927131,0.19824204,-0.046067883,6,9
P1-horz,Cr2O3,CO,-9.457367909,-0.36336964,-0.046067883,6,9
P2-horz,Cr2O3,CO,-9.432105209,0.01557087,-0.046067883,6,9
P3-horz,Cr2O3,CO,-9.421709401,0.17150798,-0.046067883,6,9
P4-horz,Cr2O3,CO,-9.428447903,0.07043046,-0.046067883,6,9
P5-horz,Cr2O3,CO,-9.41087835,0.33397375,-0.046067883,6,9
P6-horz,Cr2O3,CO,-9.443520591,-0.15565986,-0.046067883,6,9
P7-horz,Cr2O3,CO,-9.459415307,-0.39408061,-0.046067883,6,9
P8-horz,Cr2O3,CO,-9.459283234,-0.39209951,-0.046067883,6,9
P9-horz,Cr2O3,CO,-9.431602551,0.02311073,-0.046067883,6,9
P10-horz,Cr2O3,CO,-9.430961945,0.03271982,-0.046067883,6,9
P1-ver,Cr2O3,CO2,-9.951587092,0.40034947,-0.046067883,6,9
P2-ver,Cr2O3,CO2,-9.969442077,0.13252469,-0.046067883,6,9
P3-ver,Cr2O3,CO2,-9.979825476,-0.02322629,-0.046067883,6,9
P4-ver,Cr2O3,CO2,-9.962512986,0.23646106,-0.046067883,6,9
P5-ver,Cr2O3,CO2,-9.967929617,0.15521159,-0.046067883,6,9
P6-ver,Cr2O3,CO2,-9.967333563,0.1641524,-0.046067883,6,9
P7-ver,Cr2O3,CO2,-9.978449129,-0.00258109,-0.046067883,6,9
P8-ver,Cr2O3,CO2,-9.977498629,0.01167641,-0.046067883,6,9
P9-ver,Cr2O3,CO2,-9.947276331,0.46501089,-0.046067883,6,9
P10-ver,Cr2O3,CO2,-9.947947243,0.45494721,-0.046067883,6,9
P1-horz,Cr2O3,CO2,-9.992498242,-0.21331778,-0.046067883,6,9
P2-horz,Cr2O3,CO2,-9.98152942,-0.04878545,-0.046067883,6,9
P3-horz,Cr2O3,CO2,-9.963930647,0.21519615,-0.046067883,6,9
P4-horz,Cr2O3,CO2,-9.977903183,0.0056081,-0.046067883,6,9
P5-horz,Cr2O3,CO2,-9.966302521,0.17961803,-0.046067883,6,9
P6-horz,Cr2O3,CO2,-9.971224675,0.10578572,-0.046067883,6,9
P7-horz,Cr2O3,CO2,-9.979992427,-0.02573056,-0.046067883,6,9
P8-horz,Cr2O3,CO2,-9.992238858,-0.20942702,-0.046067883,6,9
P9-horz,Cr2O3,CO2,-9.977585161,0.01037843,-0.046067883,6,9
P10-horz,Cr2O3,CO2,-9.980021436,-0.02616569,-0.046067883,6,9
P1-ver,Fe2O3,H2O,-8.269822941,-0.52723263,-0.037592132,6,9
P2-ver,Fe2O3,H2O,-8.329712285,-1.42557279,-0.037592132,6,9
P3-ver,Fe2O3,H2O,-8.275828897,-0.61732197,-0.037592132,6,9
P4-ver,Fe2O3,H2O,-8.234598315,0.00113676,-0.037592132,6,9
P5-ver,Fe2O3,H2O,-8.305966087,-1.06937983,-0.037592132,6,9
P6-ver,Fe2O3,H2O,-8.311310957,-1.14955288,-0.037592132,6,9
P7-ver,Fe2O3,H2O,-8.274253313,-0.59368821,-0.037592132,6,9
P8-ver,Fe2O3,H2O,-8.27570207,-0.61541957,-0.037592132,6,9
P9-ver,Fe2O3,H2O,-8.236912793,-0.03358042,-0.037592132,6,9
P10-ver,Fe2O3,H2O,-8.22675966,0.11871658,-0.037592132,6,9
P11-ver,Fe2O3,H2O,-8.235529869,-0.01283656,-0.037592132,6,9
P1-horz,Fe2O3,H2O,-8.270634209,-0.53940166,-0.037592132,6,9
P2-horz,Fe2O3,H2O,-8.346272918,-1.67398229,-0.037592132,6,9
P3-horz,Fe2O3,H2O,-8.22781243,0.10292503,-0.037592132,6,9
P4-horz,Fe2O3,H2O,-8.228537284,0.09205222,-0.037592132,6,9
P5-horz,Fe2O3,H2O,-8.267783039,-0.4966341,-0.037592132,6,9
P6-horz,Fe2O3,H2O,-8.310529761,-1.13783493,-0.037592132,6,9
P7-horz,Fe2O3,H2O,-8.31049475,-1.13730977,-0.037592132,6,9
P8-horz,Fe2O3,H2O,-8.321395763,-1.30082496,-0.037592132,6,9
P9-horz,Fe2O3,H2O,-8.212513513,0.33240878,-0.037592132,6,9
P10-horz,Fe2O3,H2O,-8.315482813,-1.21213071,-0.037592132,6,9
P11-horz,Fe2O3,H2O,-8.281190693,-0.69774891,-0.037592132,6,9
P1-ver,Fe2O3,O2,-7.941541171,-2.05081865,-0.037592132,6,9
P2-ver,Fe2O3,O2,-7.993290976,-2.82706572,-0.037592132,6,9
P3-ver,Fe2O3,O2,-7.97727512,-2.58682788,-0.037592132,6,9
P4-ver,Fe2O3,O2,-7.939259444,-2.01659274,-0.037592132,6,9
P5-ver,Fe2O3,O2,-7.937507797,-1.99031803,-0.037592132,6,9
P6-ver,Fe2O3,O2,-7.978211841,-2.6008787,-0.037592132,6,9
P7-ver,Fe2O3,O2,-7.974297482,-2.54216331,-0.037592132,6,9
P8-ver,Fe2O3,O2,-8.01575293,-3.16399503,-0.037592132,6,9
P9-ver,Fe2O3,O2,-7.975576133,-2.56134308,-0.037592132,6,9
P10-ver,Fe2O3,O2,-7.941057499,-2.04356357,-0.037592132,6,9
P11-ver,Fe2O3,O2,-7.976374891,-2.57332445,-0.037592132,6,9
P1-horz,Fe2O3,O2,-7.944270313,-2.09175578,-0.037592132,6,9
P2-horz,Fe2O3,O2,-8.052840155,-3.7203034,-0.037592132,6,9
P3-horz,Fe2O3,O2,-7.979392209,-2.61858421,-0.037592132,6,9
P4-horz,Fe2O3,O2,-7.977841541,-2.59532419,-0.037592132,6,9
P5-horz,Fe2O3,O2,-8.016664624,-3.17767044,-0.037592132,6,9
P6-horz,Fe2O3,O2,-7.987672296,-2.74278552,-0.037592132,6,9
P7-horz,Fe2O3,O2,-7.979629837,-2.62214864,-0.037592132,6,9
P8-horz,Fe2O3,O2,-7.997355075,-2.88802721,-0.037592132,6,9
P9-horz,Fe2O3,O2,-7.959302901,-2.3172446,-0.037592132,6,9
P10-horz,Fe2O3,O2,-7.972940585,-2.52180986,-0.037592132,6,9
P11-horz,Fe2O3,O2,-7.977977559,-2.59736447,-0.037592132,6,9
P1-ver,Fe2O3,CO,-8.349386912,-1.17126192,-0.037592132,6,9
P2-ver,Fe2O3,CO,-8.324028531,-0.79088621,-0.037592132,6,9
P3-ver,Fe2O3,CO,-8.273796037,-0.03739879,-0.037592132,6,9
P4-ver,Fe2O3,CO,-8.275900665,-0.06896821,-0.037592132,6,9
P5-ver,Fe2O3,CO,-8.32082563,-0.74284269,-0.037592132,6,9
P6-ver,Fe2O3,CO,-8.31051909,-0.58824459,-0.037592132,6,9
P7-ver,Fe2O3,CO,-8.271200282,0.00153753,-0.037592132,6,9
P8-ver,Fe2O3,CO,-8.311417697,-0.6017237,-0.037592132,6,9
P9-ver,Fe2O3,CO,-8.317939037,-0.69954379,-0.037592132,6,9
P10-ver,Fe2O3,CO,-8.272244387,-0.01412405,-0.037592132,6,9
P11-ver,Fe2O3,CO,-8.303586525,-0.48425611,-0.037592132,6,9
P1-horz,Fe2O3,CO,-8.318607369,-0.70956877,-0.037592132,6,9
P2-horz,Fe2O3,CO,-8.308619485,-0.55975052,-0.037592132,6,9
P3-horz,Fe2O3,CO,-8.244933633,0.39553726,-0.037592132,6,9
P4-horz,Fe2O3,CO,-8.279001143,-0.11547538,-0.037592132,6,9
P5-horz,Fe2O3,CO,-8.315286385,-0.65975401,-0.037592132,6,9
P6-horz,Fe2O3,CO,-8.272151093,-0.01272464,-0.037592132,6,9
P7-horz,Fe2O3,CO,-8.281093865,-0.14686621,-0.037592132,6,9
P8-horz,Fe2O3,CO,-8.306614799,-0.52968023,-0.037592132,6,9
P9-horz,Fe2O3,CO,-8.337850207,-0.99821134,-0.037592132,6,9
P10-horz,Fe2O3,CO,-8.269065506,0.03355917,-0.037592132,6,9
P11-horz,Fe2O3,CO,-8.296507131,-0.37806521,-0.037592132,6,9
P1-ver,Fe2O3,CO2,-8.891856997,-1.13130635,-0.037592132,6,9
P2-ver,Fe2O3,CO2,-8.825758735,-0.13983242,-0.037592132,6,9
P3-ver,Fe2O3,CO2,-8.856674047,-0.6035621,-0.037592132,6,9
P4-ver,Fe2O3,CO2,-8.907007568,-1.35856491,-0.037592132,6,9
P5-ver,Fe2O3,CO2,-8.825866367,-0.14144689,-0.037592132,6,9
P6-ver,Fe2O3,CO2,-8.852752091,-0.54473275,-0.037592132,6,9
P7-ver,Fe2O3,CO2,-8.893460336,-1.15535643,-0.037592132,6,9
P8-ver,Fe2O3,CO2,-8.819033069,-0.03894743,-0.037592132,6,9
P9-ver,Fe2O3,CO2,-8.908231988,-1.37693121,-0.037592132,6,9
P10-ver,Fe2O3,CO2,-8.907725259,-1.36933027,-0.037592132,6,9
P11-ver,Fe2O3,CO2,-8.8943643,-1.16891589,-0.037592132,6,9
P1-horz,Fe2O3,CO2,-8.89268905,-1.14378714,-0.037592132,6,9
P2-horz,Fe2O3,CO2,-8.850505136,-0.51102843,-0.037592132,6,9
P3-horz,Fe2O3,CO2,-8.819591057,-0.04731724,-0.037592132,6,9
P4-horz,Fe2O3,CO2,-8.891405853,-1.12453919,-0.037592132,6,9
P5-horz,Fe2O3,CO2,-8.850635652,-0.51298617,-0.037592132,6,9
P6-horz,Fe2O3,CO2,-8.851204495,-0.52151882,-0.037592132,6,9
P7-horz,Fe2O3,CO2,-8.819844853,-0.05112419,-0.037592132,6,9
P8-horz,Fe2O3,CO2,-8.84888601,-0.48674154,-0.037592132,6,9
P9-horz,Fe2O3,CO2,-8.852617251,-0.54271016,-0.037592132,6,9
P10-horz,Fe2O3,CO2,-8.848658122,-0.48332322,-0.037592132,6,9
P11-horz,Fe2O3,CO2,-8.889608961,-1.09758581,-0.037592132,6,9
